exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
Fraxswap (Arbitrum),Fraxswap (Arbitrum),72,0.0000172680721434946198000000000000000000,6679.3746232581637446,1,True,empty_uri,1750470764924
yobit,YoBit,73,0.0000137995135697960450000000000000000000,5337.7192303500000000,2,False,https://yobit.net,1750493658766
coingeckoexchangerates,Coingecko,74,0.0000062813064349809957000000000000000000,2429.6400000000000000,1,False,https://www.coingecko.com/es,1750493648485
btctradeua,BTC Trade UA,75,0.0000041861565451244753000000000000000000,1619.2257922100567513,5,False,https://btc-trade.com.ua/,1750493663306
Fraxswap (BSC),Fraxswap (BSC),76,0.0000019601018549292987000000000000000000,758.1769684549436940,1,True,empty_uri,1750490367462
Uniswap V2 (Arbitrum),Uniswap V2 (Arbitrum),77,0.00000024375753334092786358000000000000000000,94.2866041383067506,1,True,empty_uri,1750445238554
sushi,SushiSwap,81,,,0,,https://sushi.com/,1719351130344
bibox,Bibox,83,,,2,False,https://www.bibox.com,1750493668101
Fraxswap (Avalanche),Fraxswap (Avalanche),82,,,1,True,empty_uri,1750490396908
Camelot V3,Camelot V3,78,,,0,,empty_uri,1747450338483
Camelot,Camelot,79,,,0,,empty_uri,1746731057419
Pancakeswap (Stable),Pancakeswap (Stable),80,,,0,,empty_uri,1743698293003
